countyid,name
1018261,Caledonia
1018318,Cuyahoga
1009364,
1010691,Barton
1002454,New York
1011100,Davidson
1009845,New York
1005586,New Castle
1008071,District of Columbia
1012710,District of Columbia
1016782,New York
1003877,Hennepin
1016784,Richmond City
1010968,Philadelphia
1009994,Scotts Bluff
1018365,Coles
1012790,Levy
1012158,King
1010873,Shawnee
1005309,Philadelphia
1000709,Monmouth
1011881,Cache
1010966,Philadelphia
1005299,Philadelphia
1010994,Amherst
1009959,Montgomery
1004950,Grundy
1010775,Walton
1018656,Mercer
1005636,Baltimore
1005310,Philadelphia
1018389,Marion
1012280,Washoe
1004414,Carson City
1011213,Monroe
1010965,Philadelphia
1006234,
1006494,
1005304,Philadelphia
1000060,New York
1005306,Philadelphia
1018426,Cook
1012500,Maricopa
1000061,New York
1000062,New York
1008391,Houston
1001961,Linn
1000063,New York
1000064,New York
1011989,Saline
1000986,Salt Lake
1010617,Palm Beach
1001683,Frederick
1009004,Leon
1001887,Anderson
1007585,Anne Arundel
1009028,Henry
1004573,Abbeville
1004598,Clark
1003865,Hennepin
1002947,Brown
1004031,Dickinson
1010487,Washington
1000065,New York
1006988,Plymouth
1007070,Lackawanna
1011313,St. Tammany
1004762,Bernalillo
1009543,
1002108,Hancock
1007575,Lafayette
1005122,Oneida
1008461,Shannon
1011180,Palm Beach
1003469,Middlesex
1018003,Bristol
1007519,Cobb
1001393,Pontotoc
1001083,Kent
1006969,Adair County
1010467,Bartow
1017937,Adams
1011322,Adams
1010354,Berkshire
1018278,District of Columbia
1008961,Hawaii
1005109,Kings
1002464,DuPage
1005741,Dallas
1005272,San Bernardino
1012288,Lenawee
1011214,Monroe
1008667,Cabarrus
1007586,Worcester
1012233,Shelby
1003562,Maricopa
1011830,Maricopa
1000212,Aiken
1008054,Hernando
1007542,Hawaii County
1011967,Okaloosa
1001801,Plymouth
1005061,Franklin
1004086,Baldwin
1008612,Alachua
1006312,Alamance
1009019,Alameda
1004846,Lincoln
1018304,Bexar
1011033,Otero
1004789,Otero
1004070,Alamosa
1004425,Dougherty
1002175,Linn
1011108,Freeborn
1004886,Wilcox
1010559,Cass
1010407,Bernalillo
1004761,Bernalillo
1007016,Bernalillo
1002222,Alcona
1008252,Greenbrier
1003236,Ramsey
1011910,Parker
1010597,Alexander
1000519,Jefferson
1018643,Rapides
1007366,Douglas
1011196,Allegany
1007217,Kewaunee
1001300,
1007528,
1008835,Monterey
1005548,Miami-Dade
1011735,Cameron
1010096,Shelby
1000268,Richland
1000168,Richland
1001962,Allamakee
1002717,Allegan
1008262,Alleghany
1018160,Allen
1018165,Allen
1018105,Allen
1011777,Ingham
1007413,Allendale
1007716,Lehigh
1007083,Lehigh
1002964,Box Butte
1005675,Stark
1006739,Lee
1002683,Middlesex
1005134,Suffolk
1006816,Harlan
1002250,Gratiot
