id,datefrom,dateto,seasonnumber,marketid
1018261,2018-02-06T00:00:00Z,2019-06-08T00:00:00Z,3,1018261
1018318,2018-12-06T00:00:00Z,2019-06-09T00:00:00Z,1,1018318
1009364,,,4,1009364
1010691,2014-02-04T00:00:00Z,2016-06-11T00:00:00Z,3,1010691
1002454,July,November,3,1002454
1011100,2015-05-05T00:00:00Z,2017-03-10T00:00:00Z,2,1011100
1009845,2014-10-06T00:00:00Z,2016-01-11T00:00:00Z,2,1009845
1005586,2015-04-05T00:00:00Z,2015-05-10T00:00:00Z,2,1005586
1008071,2014-03-05T00:00:00Z,2015-10-11T00:00:00Z,3,1008071
1012710,2016-09-04T00:00:00Z,2017-07-11T00:00:00Z,1,1012710
1016782,2019-05-06T00:00:00Z,2018-10-11T00:00:00Z,3,1016782
1003877,June,September,3,1003877
1016784,2017-08-06T00:00:00Z,,1,1016784
1010968,2015-01-06T00:00:00Z,2016-03-11T00:00:00Z,1,1010968
1009994,2014-07-06T00:00:00Z,2016-03-09T00:00:00Z,3,1009994
1018365,2018-08-05T00:00:00Z,2019-06-09T00:00:00Z,1,1018365
1012790,2016-03-09T00:00:00Z,2018-12-06T00:00:00Z,3,1012790
1012158,2016-01-01T00:00:00Z,2018-07-12T00:00:00Z,1,1012158
1010873,2015-05-06T00:00:00Z,2017-06-10T00:00:00Z,1,1010873
1005309,2015-01-06T00:00:00Z,2015-01-11T00:00:00Z,2,1005309
1000709,2018-01-06T00:00:00Z,2016-05-11T00:00:00Z,2,1000709
1011881,2016-07-05T00:00:00Z,2017-03-10T00:00:00Z,4,1011881
1010966,2015-01-06T00:00:00Z,2016-03-11T00:00:00Z,3,1010966
1005299,2015-01-06T00:00:00Z,2016-03-11T00:00:00Z,3,1005299
1010994,2016-05-05T00:00:00Z,2016-01-09T00:00:00Z,4,1010994
1009959,2016-01-01T00:00:00Z,2018-07-12T00:00:00Z,4,1009959
1004950,2014-10-05T00:00:00Z,2014-11-10T00:00:00Z,4,1004950
1010775,2016-06-01T00:00:00Z,2020-05-01T00:00:00Z,4,1010775
1018656,2017-11-06T00:00:00Z,2019-05-10T00:00:00Z,3,1018656
1005636,2013-01-01T00:00:00Z,2015-07-12T00:00:00Z,4,1005636
1005310,2015-01-06T00:00:00Z,2015-01-11T00:00:00Z,4,1005310
1018389,2017-01-06T00:00:00Z,2018-09-09T00:00:00Z,4,1018389
1012280,2016-09-06T00:00:00Z,2017-06-08T00:00:00Z,2,1012280
1004414,June,September,4,1004414
1011213,,,4,1011213
1010965,2015-01-06T00:00:00Z,2016-10-11T00:00:00Z,2,1010965
1006234,,,2,1006234
1006494,,,2,1006494
1005304,2015-01-06T00:00:00Z,2016-03-11T00:00:00Z,2,1005304
1000060,2014-08-04T00:00:00Z,2014-09-12T00:00:00Z,1,1000060
1005306,2015-01-06T00:00:00Z,2015-01-11T00:00:00Z,4,1005306
1018426,2018-01-05T00:00:00Z,2018-04-12T00:00:00Z,1,1018426
1012500,2016-02-10T00:00:00Z,2019-04-05T00:00:00Z,1,1012500
1000061,2013-01-01T00:00:00Z,2015-07-12T00:00:00Z,4,1000061
1000062,2013-01-01T00:00:00Z,2015-07-12T00:00:00Z,2,1000062
1008391,2013-06-06T00:00:00Z,2013-08-08T00:00:00Z,1,1008391
1001961,May,October,4,1001961
1000063,2014-11-06T00:00:00Z,2014-12-11T00:00:00Z,4,1000063
1000064,2013-01-01T00:00:00Z,2015-07-12T00:00:00Z,4,1000064
1011989,2016-10-05T00:00:00Z,2018-03-09T00:00:00Z,1,1011989
1000986,2013-12-05T00:00:00Z,2014-08-10T00:00:00Z,1,1000986
1010617,,,3,1010617
1001683,January,December,2,1001683
1009004,2014-01-01T00:00:00Z,2016-07-12T00:00:00Z,1,1009004
1001887,2014-06-05T00:00:00Z,2015-11-09T00:00:00Z,3,1001887
1007585,,,3,1007585
1009028,2014-06-06T00:00:00Z,2016-01-07T00:00:00Z,4,1009028
1004573,2013-06-06T00:00:00Z,2013-04-10T00:00:00Z,2,1004573
1004598,May,October,2,1004598
1003865,,,2,1003865
1002947,,,4,1002947
1004031,,,3,1004031
1010487,2017-04-04T00:00:00Z,2017-10-11T00:00:00Z,1,1010487
1000065,2013-01-01T00:00:00Z,2015-07-12T00:00:00Z,3,1000065
