stateid,name
1018261,Vermont
1018318,Ohio
1009364,South Carolina
1010691,Missouri
1002454,New York
1011100,Tennessee
1009845,New York
1005586,Delaware
1008071,District of Columbia
1012710,District of Columbia
1016782,New York
1003877,Minnesota
1016784,Virginia
1010968,Pennsylvania
1009994,Nebraska
1018365,Illinois
1012790,Florida
1012158,Washington
1010873,Kansas
1005309,Pennsylvania
1000709,New Jersey
1011881,Utah
1010966,Pennsylvania
1005299,Pennsylvania
1010994,Virginia
1009959,Ohio
1004950,Illinois
1010775,Florida
1018656,New Jersey
1005636,Maryland
1005310,Pennsylvania
1018389,Indiana
1012280,Nevada
1004414,Nevada
1011213,New York
1010965,Pennsylvania
1006234,Colorado
1006494,Indiana
1005304,Pennsylvania
1000060,New York
1005306,Pennsylvania
1018426,Illinois
1012500,Arizona
1000061,New York
1000062,New York
1008391,Alabama
1001961,Iowa
1000063,New York
1000064,New York
1011989,Kansas
1000986,Utah
1010617,Florida
1001683,Maryland
1009004,Florida
1001887,South Carolina
1007585,Maryland
1009028,Alabama
1004573,South Carolina
1004598,Wisconsin
1003865,Minnesota
1002947,South Dakota
1004031,Kansas
1010487,Virginia
1000065,New York
1006988,Massachusetts
1007070,Pennsylvania
1011313,Louisiana
1004762,New Mexico
1009543,Pennsylvania
1002108,Maine
1007575,Louisiana
1005122,New York
1008461,Missouri
1011180,Florida
1003469,Massachusetts
1018003,Massachusetts
1007519,Georgia
1001393,Oklahoma
1001083,Michigan
1006969,Kentucky
1010467,Georgia
1017937,Pennsylvania
1011322,Pennsylvania
1010354,Massachusetts
1018278,District of Columbia
1008961,Hawaii
1005109,New York
1002464,Illinois
1005741,Iowa
1005272,California
1012288,Michigan
1011214,New York
1008667,North Carolina
1007586,Maryland
1012233,Tennessee
1003562,Arizona
1011830,Arizona
1000212,South Carolina
1008054,Florida
1007542,Hawaii
1011967,Florida
1001801,Iowa
1005061,New York
1004086,Alabama
1008612,Florida
1006312,North Carolina
1009019,California
1004846,Nevada
1018304,Texas
1011033,New Mexico
1004789,New Mexico
1004070,Colorado
1004425,Georgia
1002175,Oregon
1011108,Minnesota
1004886,Alabama
1010559,Michigan
1010407,New Mexico
1004761,New Mexico
1007016,New Mexico
1002222,Michigan
1008252,West Virginia
1003236,Minnesota
1011910,Texas
1010597,North Carolina
1000519,New York
1018643,Louisiana
1007366,Minnesota
1011196,New York
1007217,Wisconsin
1001300,Illinois
